Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,112014836393.151,136361791002.623,299415359539.558,286769850239.675,295936471258.128,375349396273.835,416418862155.872,396342265529.842,367593603380.597,351304928727.413,314571945857.401,..
GDP (current US$),NY.GDP.MKTP.CD,South Sudan,SSD,..,..,..,15550136278.8696,12231362022.6859,15727363443.0995,17826697892.2717,10368813559.322,13257635694.9153,13282084033.8983,9015221096.24474,..
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,535101248775.71,595402616546.895,1479341637010.68,1634989014208.29,1499074742984.16,1431672847682.12,1487924659438.42,1339946773437.24,1369261671179,1381342101735.68,1199057336142.84,..
GDP (current US$),NY.GDP.MKTP.CD,Sri Lanka,LKA,8032551173.24014,16330814179.9766,32350248410.8216,40713812309.7316,42066217871.5349,56725745039.336,65292741296.5382,68434399083.41,74317806754.5267,80025305461.5834,82316172384.325,..
GDP (current US$),NY.GDP.MKTP.CD,St. Kitts and Nevis,KNA,208740444.444444,420086753.420087,674008481.481481,738942555.555555,723209111.111111,705015370.37037,753225962.962963,734462666.666667,788163888.888889,847778185.185185,876478555.555555,..
GDP (current US$),NY.GDP.MKTP.CD,St. Lucia,LCA,397192592.592593,780895370.37037,1150526259.25926,1187075814.81481,1180949888.88889,1241892814.81481,1280623888.88889,1298815407.40741,1318052185.18519,1386188629.62963,1431135703.7037,..
GDP (current US$),NY.GDP.MKTP.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,St. Vincent and the Grenadines,VCT,240365259.259259,396270000,678322629.62963,695428851.851852,674922481.481482,681225962.962963,676129407.407407,692933740.740741,721207148.148148,727912814.814815,737683555.555555,..
GDP (current US$),NY.GDP.MKTP.CD,Sudan,SDN,12408647540.9836,12257418326.0734,45898948564.0593,54526580231.5568,53150209167.934,65634109236.7736,67327289319.733,68125631150.2939,72065940085.772,82151588418.8325,97156119150,..
GDP (current US$),NY.GDP.MKTP.CD,Suriname,SUR,388300000,892164393.939394,2936612021.85792,3532969034.60838,3875409836.06557,4368398047.64333,4422276621.78703,4980000000,5130909090.90909,5210303030.30303,5150291216.67106,..
GDP (current US$),NY.GDP.MKTP.CD,Swaziland,SWZ,1114703088.1614,1705063301.53607,3362443069.23666,3240596584.03138,3575304672.1031,4526397202.64438,4959993196.6231,4868463069.42753,4610962392.93223,4492552857.81418,4118488059.31546,..
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,258154283908.9,259802012617.057,487816328342.309,513965650650.119,429657033107.737,488379327089.837,563113421113.421,543880647757.404,578742001487.571,573817719109.402,495623697305.492,..
GDP (current US$),NY.GDP.MKTP.CD,Switzerland,CHE,257420293190.325,271659728209.379,477407802315.895,551546962699.658,539528229942.101,581211708792.789,696311671959.459,665054050620.785,684835034384.327,702705544908.583,670789928809.882,..
GDP (current US$),NY.GDP.MKTP.CD,Syrian Arab Republic,SYR,12308624283.9787,19325894913.1254,40405006007.2086,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tajikistan,TJK,..,860550305.832491,3719497371.09659,5161336170.46084,4979481980.35098,5642178579.58438,6522732202.50748,7633049792.09321,8506674782.75471,9236309138.04277,7853450374.0001,..
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,4258742898.93795,10185786382.8283,21501741757.484,27368386358.131,28573777052.4542,31407908612.0943,33878631649.4157,39087748240.4403,44333456244.744,48197218326.7942,45628247290.4618,..
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,85343063965.9182,126392308497.749,262942650543.771,291383081231.82,281574762729.76,340923571200.889,370608559050.496,397290682074.825,419888628523.075,404320038916.496,395168025882.03,..
GDP (current US$),NY.GDP.MKTP.CD,Timor-Leste,TMP,..,368000000,559000000,694000000,827000000,943000000,1148000000,1293000000,1312000000,1399000000,1441718600,..
GDP (current US$),NY.GDP.MKTP.CD,Togo,TGO,1628427515.41881,1294250233.18894,2523462557.38975,3163416242.05877,3163000528.8167,3172945644.5585,3756023159.96,3866617462.61854,4080929201.27925,4482880424.33988,4087903912.67555,..
GDP (current US$),NY.GDP.MKTP.CD,Tonga,TON,113563821.577404,202363492.160332,300143056.873221,349459648.569023,318151987.342379,369435481.362435,423015937.994651,472441382.972447,449387934.017765,443475142.084644,435142408.969348,..
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,5068000000,8154338232.95978,21642304045.512,27870257894.2347,19175196445.7936,22157948396.2042,25433011405.3017,25694164489.2373,26436221401.2976,26175906133.4665,23559287483.9276,..
GDP (current US$),NY.GDP.MKTP.CD,Tunisia,TUN,12290568181.8182,21473188881.5933,38908069299.204,44856586316.0458,43454935940.1614,44050929160.2627,45810626509.4474,45044176963.9542,46255554871.6686,47603227896.5659,43015089722.6754,..
GDP (current US$),NY.GDP.MKTP.CD,Turkey,TUR,150676291094.21,266567532789.507,647139816980.49,730325337118.723,614569781800.821,731144536446.484,774775356126.167,788862935211.869,823256641370.335,798781754066.919,717879788566.76,..
GDP (current US$),NY.GDP.MKTP.CD,Turkmenistan,TKM,3189539641.3171,2904662604.82053,12664165103.1895,19271523178.8079,20214385964.9123,22583157894.7368,29233333333.3333,35164210526.3158,39197543859.6491,43513684210.5263,35854571428.5714,..
GDP (current US$),NY.GDP.MKTP.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Tuvalu,TUV,8824447.74022325,13742057.0500928,27030374.0272781,30290219.7617849,27101076.2751521,31823518.6204366,39312016.5033522,39875750.6730172,38322359.5288666,37259689.9224806,32673277.7402149,..
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,4304398865.88268,6193246837.09687,12292813603.2327,14239026629.639,18160711201.0079,20186498788.8153,20471099197.0034,23506194155.2319,24992173594.2485,27760811822.5182,27529249701.1469,..
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,..,31261718319.1794,142719009900.99,179992405832.321,117227769791.56,136013155905.036,163159671670.265,175781379051.433,183310146378.081,133503411375.739,90615023323.7353,..
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,50701443748.2975,104337372362.151,257916133424.098,315474615738.598,253547358747.447,286049336038.121,348526072157.931,373431994554.118,388598502382.573,401958066712.049,370296255956.433,..
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1093169389204.55,1635441065214.1,3063005202080.83,2875463235294.12,2367127278392.27,2429602904820.77,2608995353308.76,2646002634059.62,2719509472492.7,2998833559195.71,2858003087965.69,..
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,5979589000000,10284779000000,14477635000000,14718582000000,14418739000000,14964372000000,15517926000000,16155255000000,16691517000000,17393103000000,18036648000000,..
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,9298680632.74904,22823255801.8447,23410572634.3147,30366213119.2928,31660911277.0294,40284682479.8596,47962439303.7247,51265399744.9558,57531233350.9101,57235766825.403,53442697568.7227,..
GDP (current US$),NY.GDP.MKTP.CD,Uzbekistan,UZB,13360607990.6751,13760374487.51,22311393927.8817,29549438883.8338,33689223673.2577,39332770928.9426,45915191189.3237,51821573338.1312,57690453460.6205,62643953021.7594,66732736498.1951,..
GDP (current US$),NY.GDP.MKTP.CD,Vanuatu,VUT,158397403.041175,272014693.050806,526428309.945088,607958616.143415,610066628.693058,700804286.224354,792149700.679116,781702874.106058,801787555.861121,814954306.971033,742432131.041002,..
GDP (current US$),NY.GDP.MKTP.CD,"Venezuela, RB",VEN,47028010660.9808,117140723529.412,230364012575.687,315600203539.823,329418979506.288,393801459277.332,316482190800.364,381286237847.667,371336634589.947,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Vietnam,VNM,6471740490.99897,33640085738.648,77414425532.2452,99130304099.1274,106014601171.036,115931749697.241,135539487317.008,155820001920.492,171222025117.381,186204652922.262,193599379094.859,..
GDP (current US$),NY.GDP.MKTP.CD,Virgin Islands (U.S.),VIR,1564700032,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,West Bank and Gaza,WBG,..,4313600004.90521,5505800004.86843,6673500000,7268200000,8913100000,10459845726.257,11279400010.3737,12476000000,12715599988.8203,12677399994.8544,..
GDP (current US$),NY.GDP.MKTP.CD,"Yemen, Rep.",YEM,5647251908.39695,9636342274.82408,21656517484.2538,26910851361.7555,25130274124.2524,30906749533.221,32726417878.391,35401339869.3055,40415233436.1767,43228583935.0365,37733919936.2465,..
GDP (current US$),NY.GDP.MKTP.CD,Zambia,ZMB,3285217391.30435,3600683039.73254,14056957976.2648,17910858637.9048,15328342303.9575,20265556273.582,23460098339.7453,25503370699.2015,28045460442.1876,27150646859.9662,21154394545.895,..
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,8783816700,6689957600,5291950100,4415702800,8157077400,9422161300,10956226600,12392715500,13490227100,14196912500,14419185900,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/01/2017,,,,,,,,,,,,,,,
